"ASIN Code","Parent ASIN","SKU","Product Title","Brand","Category","Current Price (₹)","MRP (₹)","Best Seller Rank","Rating","Review Count","LQS Score","Sold By (Current BuyBox)","Tags"
"B085WY67F4","B07WCN5V32","GT01_Grn_FrontBackVNeck_XL","Fabricorn Plain Stylish Maroon V-Neck Cotton Tshirt for Women (Maroon)","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","577","3.8","1001","89","Cocoblu Retail","365 + Days"
"B085WYLZFT","B07WCN5V32","GT01_Grn_FrontBackVNeck_XXL","Fabricorn Plain Stylish Maroon V-Neck Cotton Tshirt for Women (Maroon)","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","577","3.8","1001","89","Cocoblu Retail","365 + Days"
"B089RFNNJY","B07WCN5V32","GT01_Blk_FrontBackVNeck_M","Fabricorn Plain Stylish Maroon V-Neck Cotton Tshirt for Women (Maroon)","117-FABRICON","Clothing & Accessories › Women › Western Wear › Winter Wear › Sweatshirts & Hoodies › Sweatshirts","399","1199","48","3.8","1001","88","Cocoblu Retail","365 + Days"
"B089RGMZ99","B07WCN5V32","GT01_Blk_FrontBackVNeck_XXL","Fabricorn Plain Stylish Maroon V-Neck Cotton Tshirt for Women (Maroon)","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","398","1199","577","3.8","1001","89","Cocoblu Retail","365 + Days"
"B08B4TFKW8","B0DJ17LB5Y","GT05_Blk_Checks_M","Fabricorn Stylish Plain Black Checkered Printed Cotton Tshirt for Women (Black)","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199",,"3.9","65","86","Cocoblu Retail","365 + Days"
"B08CSX8XP6","B0DGGZZBJ4","GT01_SageGrn_CrossNeck_L","Fabricorn Plain Stylish Mustard Yellow Cross V-Neck Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","562","3.9","2023","89","Cocoblu Retail","365 + Days"
"B08CSXTJ33","B0DGGZZBJ4","GT01_SageGrn_CrossNeck_XL","Fabricorn Plain Stylish Mustard Yellow Cross V-Neck Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","617","3.9","2024","33","Cocoblu Retail","365 + Days"
"B08GCSLZXJ","B0DGGZZBJ4","GT01_SageGrn_CrossNeck_3XL_3XL","Fabricorn Plain Stylish Mustard Yellow Cross V-Neck Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","562","3.9","2023","90","Cocoblu Retail","365 + Days"
"B08J8975H1","B0BWF4F356","GT04_Blk_Slvless_TN1_M","Fabricorn Stylish Black Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","349","1199","19204","4.2","50","32","Cocoblu Retail","365 + Days"
"B08JZD59FJ","B0DGKP4LF7","GT04_Grn_TurtleNeck_3XL_3XL","Fabricorn Stylish Black Long Sleeve Turtle Neck Cotton Tshirt for Women (Black)","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","4345","3.9","815","33","Cocoblu Retail","365 + Days"
"B08JZDNS3C","B0DGKP4LF7","GT04_Grn_TurtleNeck_XL","Fabricorn Stylish Black Long Sleeve Turtle Neck Cotton Tshirt for Women (Black)","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","4364","3.9","815","85","Cocoblu Retail","365 + Days"
"B08KGGK2XM","B0DGV7ZYYF","GT01_Blk_HighLow_M","Fabricorn Plain High Low Hem Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","2127","4","1195","85","Cocoblu Retail","365 + Days"
"B08KGGPPY4","B0DGV7ZYYF","GT01_Blk_HighLow_XL","Fabricorn Plain High Low Hem Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","2126","4","1195","85","Cocoblu Retail","365 + Days"
"B08KGRWJTL","B0DGV7ZYYF","GT01_Ylw_HighLow_M","Fabricorn Plain High Low Hem Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","3850","4","1195","32","Cocoblu Retail","365 + Days"
"B08KGRZWJ3","B0DGV7ZYYF","GT01_Blk_HighLow_S","Fabricorn Plain High Low Hem Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","3850","4","1195","32","Cocoblu Retail","365 + Days"
"B08LZJQTFT","B0DGGZZBJ4","GT01_DustyRose_CrossNeck_XXL","Fabricorn Plain Stylish Mustard Yellow Cross V-Neck Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","349","1199","562","3.9","2023","89","Cocoblu Retail","365 + Days"
"B08RCJ4S4K","B08R953LSJ","SRG01_Blk_FrntDwn_Srg_S","Fabricorn Stylish Long Sleeve Shrug for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Shrugs","399","1199","136","3.8","259","79","Cocoblu Retail","365 + Days"
"B08RY2H1CD","B0DHYMMF28","GT04_MstrdBlkGrn_Rgln_L","Fabricorn Stylish Long Sleeve Multi Colour T-Shirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","13401","3.6","47","33","Cocoblu Retail","365 + Days"
"B08RY2WHCX","B0DHYMMF28","GT04_MstrdBlkGrn_Rgln_S","Fabricorn Stylish Long Sleeve Multi Colour T-Shirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","13407","3.6","47","81","Cocoblu Retail","365 + Days"
"B08SKGKWKT","B0DGV7ZYYF","GT01_Grn_HighLow_XS","Fabricorn Plain High Low Hem Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","379","1199","2127","4","1195","85","Cocoblu Retail","365 + Days"
"B08VJ4NLT3","B0DJ1B6YNV","GT01_DustyRose_SS_BlkWhtBlkRib_M","Fabricorn Plain Black White Colour Rib Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","7870","3.6","48","90","Cocoblu Retail","365 + Days"
"B08VJ4RDJK","B0DJ1B6YNV","GT01_DustyRose_SS_BlkWhtBlkRib_L","Fabricorn Plain Black White Colour Rib Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","7870","3.6","48","90","Cocoblu Retail","365 + Days"
"B08VR8TYD1","B0DJ1B6YNV","GT01_Grn_SS_BlkWhtBlkRib_L","Fabricorn Plain Black White Colour Rib Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","7670","3.6","48","33","Cocoblu Retail","365 + Days"
"B08VRSPZDQ","B0DJ1B6YNV","GT01_Grn_SS_BlkWhtBlkRib_S","Fabricorn Plain Black White Colour Rib Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","7670","3.6","48","33","Cocoblu Retail","365 + Days"
"B08W3CC379","B0DGV7JF8L","GT05_MstrdYlw_3Face2_XL","Fabricorn Plain Printed Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","1344","3.9","1874","85","Cocoblu Retail","365 + Days"
"B08W3CX84R","B0DGV7JF8L","GT05_MstrdYlw_3Face2_M","Fabricorn Plain Printed Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","1344","3.9","1874","86","Cocoblu Retail","365 + Days"
"B08W4B3W1V","B0DJ1B6YNV","GT01_Ylw_SS_BlkWhtBlkRib_XXL","Fabricorn Plain Black White Colour Rib Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","7870","3.6","48","90","Cocoblu Retail","365 + Days"
"B08W4CZBTL","B0DJ1B6YNV","GT01_Ylw_SS_BlkWhtBlkRib_M","Fabricorn Plain Black White Colour Rib Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","7670","3.6","48","81","Cocoblu Retail","365 + Days"
"B08WL63F7T","B0DGV7ZYYF","GT01_SageGrn_HighLow1_XXL","Fabricorn Plain High Low Hem Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","2126","4","1195","83","Cocoblu Retail","365 + Days"
"B08WL7C81D","B0DGV7ZYYF","GT01_DustyRose_HighLow1_XXL","Fabricorn Plain High Low Hem Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","2127","4","1195","83","Cocoblu Retail","365 + Days"
"B08WL7J89B","B0DGV7ZYYF","GT01_DustyRose_HighLow1_S","Fabricorn Plain High Low Hem Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","2126","4","1195","83","Cocoblu Retail","365 + Days"
"B08WL8BX5B","B0DGV7ZYYF","GT01_Wine_HighLow1_M","Fabricorn Plain High Low Hem Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","3850","4","1195","32","Cocoblu Retail","365 + Days"
"B0937FBY6G","B0DHBQTVM2","GT01_Mrn_WhtBluRedSideRib_XL","Fabricorn Solid Short Sleeve Stylish Round Neck Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","26220","3.7","25","90","Cocoblu Retail","365 + Days"
"B093DB3TH7","B0DHW37QGX","GT03_Wht_BlkYlwRglnSlv1_XL","Fabricorn White Body Multi Colour Short Raglan Sleeve Stylish Round Neck Cotton Tshirt for Women (White)","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","62663","3.8","17","78","Cocoblu Retail","365 + Days"
"B093HF6LV1","B0DH9FBXT2","GT04_DustyRose_BWBVerticals_S","Fabricorn DustyRose Full Sleeve Stylish Round Neck Cotton Tshirt for Women (DustyRose)","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","38224","3.7","20","81","Cocoblu Retail","365 + Days"
"B09443YHNF","B0DH9FQS46","GT01_DustyRose_SS_BlkWhtBlkRib2_S","Fabricorn Solid Short Sleeve Stylish V Neck Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","15850","3.5","20","90","Cocoblu Retail","365 + Days"
"B0966N7HY1","B0DGV8R4T9","GT02_FullStripe_SlvLess_XXL","Fabricorn Black and White Striped Round Neck Cotton Blend Sleeveless Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","359","1199","1578","4.2","58","86","Cocoblu Retail","365 + Days"
"B0966P1VWT","B0DGV8R4T9","GT02_FullStripe_SlvLess_XL","Fabricorn Black and White Striped Round Neck Cotton Blend Sleeveless Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","359","1199","1578","4.2","58","86","Cocoblu Retail","365 + Days"
"B097TGPRKS","B0DGV8R4T9","GT02_Gry_SlvLess_XXL","Fabricorn Black and White Striped Round Neck Cotton Blend Sleeveless Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","359","1199","1579","4.2","58","89","Cocoblu Retail","365 + Days"
"B098Q55398",,"GT01_Wine_UpDown1_L","Fabricorn Combo of Plain Color Stylish Up and Down Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","398","1199","14","4","15043","90","Cocoblu Retail",
"B09B9HB3NT","B0DGGNXYYL","GT01_Mrn_UD_VNeck_M","Fabricorn Solid Stylish UpDown V-Neck Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","321","1199","88","4","1396","85","Cocoblu Retail","Price Dispute, 365 + Days"
"B09BBHGCHG","B0DH7Q9432","GT01_Mrn_Hdy_SS_XL","Fabricorn Cotton Solid Colour Short Sleeve Hooded Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","6289","4","25","88","Cocoblu Retail","365 + Days"
"B09BBHKS26","B0DH7Q9432","GT01_Mrn_Hdy_SS_XXL","Fabricorn Cotton Solid Colour Short Sleeve Hooded Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","6291","4","25","88","Cocoblu Retail","365 + Days"
"B09BF7P4LT","B0DGGNXYYL","GT01_DustyRose_UD_VNeck_M","Fabricorn Solid Stylish UpDown V-Neck Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","385","1199","106","4","1398","85","Cocoblu Retail","365 + Days, Price Dispute"
"B09BF9NY67","B0DGGNXYYL","GT01_SageGrn_UD_VNeck_XXL","Fabricorn Solid Stylish UpDown V-Neck Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","398","1199","106","4","1398","85","Cocoblu Retail","365 + Days"
"B09BM87N9L","B0DGGNXYYL","GT01_Blk_UD_VNeck_XXL","Fabricorn Solid Stylish UpDown V-Neck Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","386","1199","89","4","1398","78","Cocoblu Retail","Price Dispute, 365 + Days"
"B09D9VCRDF","B0DGGNXYYL","GT01_Ylw_UD_VNeck_XXL","Fabricorn Solid Stylish UpDown V-Neck Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","398","1199","89","4","1398","76","Cocoblu Retail","365 + Days"
