"ASIN Code","SKU","Category","Current Price (₹)","Best Seller Rank","Rating","Review Count","Sold By (Current BuyBox)","Deal Badge","Sub BSR","BuyBox Winner","Sold By (Other BuyBox)"
"B0B6BQBGZ1","FLAMINGO AND PINK LALA 6 NO.","Clothing & Accessories › Girls › Clothing Sets","1199",,"3.2","17","Cocoblu Retail","No deal found","0","No",
"B0B6BQFF2M","PINK BUTTERFLY AND FLAMINGO 7 NO.","Clothing & Accessories › Sport Specific Clothing › Dance › Girls › Dresses","1199",,"3.2","17","Cocoblu Retail","No deal found","0","No",
"B0B6BQNN2L","FLAMINGO AND BLUE ANGLE 4 NO.","Clothing & Accessories › Sport Specific Clothing › Dance › Girls › Dresses","1199",,"3.2","17","Cocoblu Retail","No deal found","#298 in Girls' Dance Dresses","No",
"B0B6BQPTQK","PINK BUTTERFLY AND FLAMINGO 1 NO.","Clothing & Accessories › Sport Specific Clothing › Dance › Girls › Dresses",,,"3.2","17",,"No deal found","#298 in Girls' Dance Dresses","No",
"B0B6BQWZ3C","PINK LALA AND PINK BLUE ANGLE 2 NO.","Clothing & Accessories › Girls › Dresses & Jumpsuits › Dresses","1199",,"3.2","17","Cocoblu Retail","No deal found","0","No",
"B0B6BQY6Z4","FLAMINGO AND PINK LALA 1 NO.","Clothing & Accessories › Sport Specific Clothing › Dance › Girls › Dresses","1199",,"3.2","17","Cocoblu Retail","No deal found","#298 in Girls' Dance Dresses","No",
"B0B6BQYY5P","PINK LALA AND PINK BLUE ANGLE 1 NO.","Clothing & Accessories › Girls › Dresses & Jumpsuits › Dresses","1199",,"3.2","17","Cocoblu Retail","No deal found","#5,880 in Girls' Dresses","No",
"B0B6BR2TNZ","PINK LALA AND PINK BLUE ANGLE 5 NO.","Clothing & Accessories › Girls › Dresses & Jumpsuits › Dresses","1199",,"3.2","17","Cocoblu Retail","No deal found","0","No",
"B0B6BR7CMF","PINK BUTTERFLY AND BLUE ANGLE 2 NO.","Clothing & Accessories › Girls › Dresses & Jumpsuits › Dresses","1199",,"3.2","17","Cocoblu Retail","No deal found","#5,902 in Girls' Dresses","No",
"B0B6BRQJKK","FLAMINGO AND PINK LALA 5 NO.","Clothing & Accessories › Girls › Dresses & Jumpsuits › Dresses","1199",,"3.2","17","Cocoblu Retail","No deal found","#5,880 in Girls' Dresses","No",
"B0B6BWCPDT","FLAMINGO AND PINK LALA 3 NO.","Clothing & Accessories › Girls › Dresses & Jumpsuits › Dresses","1199",,"3.2","17","Cocoblu Retail","No deal found","#5,902 in Girls' Dresses","No",
"B0BB2M9JPW","POLKA DOT ORANGE 5 NO.","Clothing & Accessories › Girls › Dresses & Jumpsuits › Dresses","595",,"4","973","Cocoblu Retail","Limited Time Deal","#115 in Girls' Dresses","No",
