"ASIN Code","Parent ASIN","SKU","Product Title","Brand","Category","Current Price (₹)","MRP (₹)","Best Seller Rank","Rating","Review Count","LQS Score","Sold By (Current BuyBox)","Tags","Deal Badge","Discount %"
"B0CT3PLP7M",,"81040",,,,,,,,,,,,,"0"
"B0CT8YBT3Y",,"37660-N",,,,,,,,,,,,,"0"
"B0CTFDWMPX",,"16181-Pack of 1",,,,,,,,,,,,,"0"
"B0CVN9HLMD",,"24390-Pack-of-4-FBA",,,,,,,,,,,,,"0"
"B0CVNB9X3P",,"24390-Pack Of 6",,,,,,,,,,,,,"0"
"B0CWTY5134",,"21200-New Ware","New Ware 1.25 m Washing Machine Waste Water Outlet Pipe | Drain Hose Extension Pipe (Dia 32 mm x 40 mm) | Compatible with Fully & Semi Automatic Washing Machines (Haier Compatible)",,"Home & Kitchen › Large Appliances › Parts & Accessories › Washer Parts & Accessories › Hoses",,,,"5","5","81","Clicktech Retail Private Ltd",,"Limited Time Deal","0"
"B0CX8TKFTK",,"MattBlack 1.5M","New Ware 1 Meter Stainless Steel Matt Black Hose Pipe | Flexible Health Faucet & Shower Tube with Brass Nut | 1/2 Inch (15 mm)",,"Home Improvement › Kitchen & Bath Fixtures › Bathroom Fixtures › Showers › Shower Hoses","529","1059",,"5","3","76","Clicktech Retail Private Ltd",,"Ends in 21 hours 56 minutes...","50"
"B0CYH5X5TS",,"18010-PACK-OF-1",,,,,,,,,,,,,"0"
"B0CZDYPWY9",,"HINDWARE -CONNECTION- Pipe 19841",,,,,,,,,,,,,"0"
"B0D14GN8DS",,"23841 Pack of 1",,,,,,,,,,,,,"0"
"B0D17YZMLL",,"27741-New",,,,,,,,,,,,,"0"
"B0D1MNJBPZ",,"38880-Pack of 1","New Ware Acrylic Wall Mount Floating Tempered Glass Shelf Storage Stand for TV WiFi Router Set Top Box Holder Wall Bracket Home Office Installation 11 x 10 Inch",,"Home & Kitchen › Furniture › Living Room Furniture › Wall Shelves","799","1199",,"2","1","86","Clicktech Retail Private Ltd",,"No deal found","33"
"B0D2XYR54V",,"19458-FBA",,,,,,,,,,,,,"0"
"B0D5HNZL9F",,"21153-6Meter",,,,,,,,,,,,,"0"
"B0D6VT74BX",,"25585",,,,,,,,,,,,,"0"
"B0D7MDDCGF",,"22491",,,,,,,,,,,,,"0"
"B0D7MM93SR",,"28515",,,,,,,,,,,,,"0"
"B0D8BNTWSF",,"Square-Head-Gun-2024",,,,,,,,,,,,,"0"
"B0D8BP55RD",,"ROUND-HEAD-GUN-2024",,,,,,,,,,,,,"0"
"B0D8BPLMPS",,"24402-Pack of 10",,,,,,,,,,,,,"0"
"B0D8BQDKBJ",,"471002-Pack -1","New Ware ABS 360 Degree Swivel 3 in 1 Waterfall Revolving Single Hole Outer Thread Kitchen Tap Faucet Multi Flow Spray Gun Vegetable Washing Kitchen Sink Mixer Tap",,"Home Improvement › Kitchen & Bath Fixtures › Kitchen Fixtures › Kitchen Taps › Kitchen Sink Taps › Touch On Kitchen Sink Faucets","889","1499",,,,"79","Clicktech Retail Private Ltd",,"No deal found","41"
"B0D8BQH9LK",,"41035 Pack of 100","NEW WARE 15 mm Wire Fastener Cable Clips with Stainless Steel Nails | Round Cable Clamps for Cable Management Wall Fixing Electrical Wiring | Pack of 100",,"Home Improvement › Hardware › Nails, Screws & Fasteners › Staples","739","1479",,"4.4","6","69","Clicktech Retail Private Ltd",,"Ends in 22 hours 2 minutes ...","50"
"B0D8BSBT2T",,"41035 Pack of 25",,,,,,,,,,,,,"0"
"B0D8BSNTM3",,"25623-NW",,,,,,,,,,,,,"0"
"B0DC3Z6HC7",,"11011-Nano Gun","NEW Ware Handheld Bidet Spray Gun for Toilet | ABS Health Faucet High Pressure Jet Spray | Bathroom Hygiene Spray Nozzle Leak-Proof (White)",,"Home Improvement › Kitchen & Bath Fixtures › Bathroom Fixtures › Health Faucets","251","999",,"5","1","81","Clicktech Retail Private Ltd",,"Ends in 22 hours 3 minutes ...","75"
"B0DC484ZFP",,"11390-ECO Gun",,,,,,,,,,,,,"0"
"B0DC4B4R28",,"11031-Micro Gun",,,,,,,,,,,,,"0"
"B0DC56QCLY",,"11050-TOYO GUN","NEW Ware® Health Faucet for Toilet | High Pressure Jet Spray Gun | Leak Proof Handheld Bidet Sprayer | Easy Installation Bathroom Jet Spray (Chrome Finish, Gun Only)",,"Home Improvement › Kitchen & Bath Fixtures › Bathroom Fixtures › Health Faucets","299","999",,,,"83","Clicktech Retail Private Ltd",,"No deal found","70"
"B0DC571ZFX",,"11180-Conti Gun",,,,,,,,,,,,,"0"
"B0DC5DRKDM",,"19458",,,,,,,,,,,,,"0"
"B0DC6593FS",,"11250-Royal Gun",,,,,,,,,,,,,"0"
"B0DCFQDQWB",,"17362-26030",,,,,,,,,,,,,"0"
"B0DCFS6T91",,"17363-26030","New Ware Heavy Stainless Steel 304 Connection Pipe 36 Inch | Hot & Cold Water Hose for Geyser, Basin, Kitchen Sink & Mixer | Pack of 2 with Teflon Tape",,"Home Improvement › Kitchen & Bath Fixtures › Bathroom Fixtures › Showers › Shower Hoses",,,,"4","1","85","Clicktech Retail Private Ltd",,"Limited Time Deal","0"
"B0DCFZ31DQ",,"17361-26030","New Ware Heavy Stainless Steel 304 Connection Pipe 18 Inch | Hot & Cold Water Hose for Geyser, Basin, Kitchen Sink & Mixer | Pack of 2 with Teflon Tape",,"Home Improvement › Kitchen & Bath Fixtures › Bathroom Fixtures › Showers › Shower Hoses","492","1399",,"4","1","86","Clicktech Retail Private Ltd",,"No deal found","65"
"B0DCG41954",,"17200-26030",,,,,,,,,,,,,"0"
"B0DCJPXJVD",,"17011",,,,,,,,,,,,,"0"
"B0DCJQFGFN",,"17012",,,,,,,,,,,,,"0"
"B0DF2RL77H",,"17240","New Ware Double Grip Stainless Steel Connection Pipe for Basin Mixer | Hot & Cold Water Connection Pipe for Kitchen Sink & Bathroom | 24 Inch | Pack of 2",,"Home Improvement › Plumbing › Tap Parts › Tap Supply Lines","339","1499",,"4.4","7","85","Clicktech Retail Private Ltd",,"Ends in 21 hours 54 minutes...","77"
"B0DF2S9SNR",,"17230",,,,,,,,,,,,,"0"
"B0DF2YL1HC",,"22751-Pack of 2","New Ware Brass 1/2 x 3/4 Inch Connection Leg for Wall Mixer | Extension Legs for Single & Double Handle Mixer Taps | Pair",,"Home Improvement › Kitchen & Bath Fixtures › Bathroom Fixtures › Shower & Bath Taps","509","1799",,,,"86","Clicktech Retail Private Ltd",,"No deal found","72"
"B0DF5FLL1T",,"22721-Pack-of-2",,,,,,,,,,,,,"0"
"B0DF6CK7MT",,"17360",,,,,,,,,,,,,"0"
"B0DF6HWLWV",,"23829-PR",,,,,,,,,,,,,"0"
"B0DFH1MWSQ",,"22263-PR",,,,,,,,,,,,,"0"
"B0DFH6XDGD",,"34550",,,,,,,,,,,,,"0"
"B0DFPT8Z55",,"28-H05C-JYE7",,,,,,,,,,,,,"0"
"B0DFTNQYM7",,"23827-PR","New Ware CP ABS 360 Degree Rotational Flexible Spout for Kitchen Sink Tap | Movable Double Flow Aerator Tap Extender for Sink & Wash Basin",,"Home Improvement › Kitchen & Bath Fixtures › Kitchen Fixtures › Kitchen Sink Aerators","378","1599",,,,"83","Clicktech Retail Private Ltd",,"No deal found","76"
"B0DFWF1VPF",,"23013",,,,,,,,,,,,,"0"
"B0DFWKJQ3F",,"23011",,,,,,,,,,,,,"0"
"B0DFYRCNCC",,"18103","New Ware ABS 360 Degree Rotational Wall Mount Health Faucet Holder Hook | Bidet Spray & Hand Shower Holder for Toilet | Black",,"Home Improvement › Kitchen & Bath Fixtures › Bathroom Fixtures › Health Faucets","569","1499",,,,"84","Clicktech Retail Private Ltd",,"No deal found","62"
"B0DG2QLRWG",,"26211",,,,,,,,,,,,,"0"
"B0DG5CZ9YT",,"46001-Pack-of-4","New Ware PVC Sink Drain Strainer Basket Jali for Kitchen Sink & Wash Basin | Detachable Sink Cup Drain Filter Dirt Stopper | Pack of 4",,"Home Improvement › Kitchen & Bath Fixtures › Kitchen Fixtures › Kitchen Sink Accessories › Drains & Strainers","379","999",,,,"83","KIDLEN INDIA LLP",,"No deal found","62"
"B0DG5NS4N1",,"24034",,,,,,,,,,,,,"0"
"B0DG5T9FWN",,"24110",,,,,,,,,,,,,"0"
"B0DG5WJH27",,"24450","New Ware CP Stainless Steel Square Curved Lockable Hinges Floor Drain Jali Trap | Push Open Down Comer Anti Cockroach Drain Jali | 5 Inch",,"Home Improvement › Hardware › Bathroom Hardware › Drain Strainers","419","1999",,,,"83","Clicktech Retail Private Ltd",,"No deal found","79"
"B0DG8K1H2N",,"24521",,,,,,,,,,,,,"0"
"B0DG954PQK",,"24811",,,,,,,,,,,,,"0"
"B0DGF56BTP",,"19345","New Ware PVC Round Bottle Trap with Waste Pipe Wall Flange and Washer Wall Mount Down Comer for Wash Basin and Kitchen Sink Waste Water Drain Outlet 30 cm Wall Faced Long Pipe Set",,"Home Improvement › Kitchen & Bath Fixtures › Bathroom Fixtures › Pipe Fittings & Accessories › Bottle Trap","849","2999",,"2.4","3","84","Clicktech Retail Private Ltd",,"No deal found","72"
"B0DHD16S81",,"21050-PR",,,,,,,,,,,,,"0"
"B0DHD1KDBJ",,"21030-PR",,,,,,,,,,,,,"0"
"B0DHD236B3",,"21056-PR",,,,,,,,,,,,,"0"
