"ASIN Code","Parent ASIN","SKU","Product Title","Brand","Category","Current Price (₹)","MRP (₹)","Best Seller Rank","Rating","Review Count","LQS Score","Sold By (Current BuyBox)","Tags"
"B08WS4CSQD",,"27020",,"809-New Ware",,,,,,,,,
"B08WWM954G",,"27111",,"809-New Ware",,,,,,,,,
"B08WWN3JQN",,"27262",,"809-New Ware",,,,,,,,,
"B08WX3GW74",,"27200","NEW WARE® Toilet Seat Cover Hinges – CERA Type | Round Square Short Clamp for Western Toilets | PVC Plastic, Rust-Free | Easy Replacement | White | 1 Pair","809-New Ware","Home Improvement › Kitchen & Bath Fixtures › Bathroom Fixtures › Toilets & Toilet Parts › Toilet Seats","251","399",,"3.5","2","76","Clicktech Retail Private Ltd",
"B08WX73H3B",,"27120",,"809-New Ware",,,,,,,,,
"B08Y5JFW39",,"31310-(Pack of 2)","NEW WARE Tap Spindle Disc Cartridge 24 x 1.5 mm | Compatible with Jaquar New Continental Type Taps | Pack of 2","809-New Ware","Computers & Accessories › Printers, Inks & Accessories › Inks, Toners & Cartridges › Inkjet Ink Cartridges","559","999",,"3.8","29","85","Clicktech Retail Private Ltd",
"B08ZXTLPRS",,"41040",,"809-New Ware",,,,,,,,,
"B092ZTKBJ8",,"21100-13 mtr Outlet",,"809-New Ware",,,,,,,,,
"B094JR4D2N",,"21060-FBA","KI 1 Meter Waste Water Drain Outlet Pipe | Washing Machine Outlet Pipe | Extension | Hose White (Pack of 1)","809-New Ware","Home & Kitchen › Large Appliances › Parts & Accessories › Washer Parts & Accessories › Hoses","351","499",,"3.7","29","76","KIDLEN INDIA LLP",
"B094NMJVF5",,"21080-KB","Unknown Product","809-New Ware",,,,,,,"25",,
"B094R8TH4K",,"21100-KB",,"809-New Ware",,,,,,,,,
"B094RBC68R",,"21092-KI BATH FITTINGS",,"809-New Ware",,,,,,,,,
"B096FWQPXW",,"19580-(Pack of 2)",,"809-New Ware",,,,,,,,,
"B096FXT7DR",,"19580-(Pack of 4)",,"809-New Ware",,,,,,,,,
"B096FXZMNV",,"19580-(Pack of 6)",,"809-New Ware",,,,,,,,,
"B096G22QC4",,"19580-(Pack of 8)",,"809-New Ware",,,,,,,,,
"B096QHM8PK",,"18015-(Pack of 4)",,"809-New Ware",,,,,,,,,
"B096Y7F28X",,"18015-(Pack of 2)",,"809-New Ware",,,,,,,,,
"B096ZFWWZX",,"18015-(Pack of 10)","NEW WARE Self Adhesive Heavy Duty Wall Hooks | Transparent Sticky Hooks 10 kg Load | Waterproof Multi Purpose Hanger | Pack of 10","809-New Ware","Home & Kitchen › Home Storage & Organisation › Home Storage Hooks › Wall Hooks","243","579",,"4.5","4","77","Clicktech Retail Private Ltd",
"B096ZFXD7P",,"18015-(Pack of 8)",,"809-New Ware",,,,,,,,,
"B097P9GJ3L",,"18016-(Pack of 2)",,"809-New Ware",,,,,,,,,
"B098T7FHN3",,"19350",,"809-New Ware",,,,,,,,,
"B099627JKG",,"27170-KB",,"809-New Ware",,,,,,,,,
"B099WYQGYB",,"21140-AC",,"809-New Ware",,,,,,,,,
"B09B3PNNLT",,"22860-KINK",,"809-New Ware",,,,,,,,,
"B09B565M5Y",,"27806-N",,"809-New Ware",,,,,,,,,
"B09BJQH4V1",,"18040-(Pack of 4)",,"809-New Ware",,,,,,,,,
"B09BJRVS8G",,"18040-(Pack of 6)","NEW WARE CP ABS Wall Hook | Multipurpose Holder for Health Faucet, Hand Shower, Tap & Bathroom Accessories | Chrome Plated | Pack of 6","809-New Ware","Home Improvement › Kitchen & Bath Fixtures › Bathroom Fixtures › Health Faucets","319","489",,"2.9","3","87","Clicktech Retail Private Ltd",
"B09BNQ4SNX",,"21710-(Pack of 1)",,"809-New Ware",,,,,,,,,
"B09BPZPYSM",,"27192-KB","L Type PVC Toilet Seat Cover Hinges Clamp | Spare Part for Western Toilet Seat Cover (White)","809-New Ware","Home Improvement › Kitchen & Bath Fixtures › Bathroom Fixtures › Toilets & Toilet Parts › Toilet Seats","351","499",,"2.9","29","86","PRINSA_ENTERPRISE",
"B09BR3ZCB6",,"21720-(Pack of 1)",,"809-New Ware",,,,,,,,,
"B09BZ22PLV",,"21230 (Pack of 1)",,"809-New Ware",,,,,,,,,
"B09BZJBP44",,"21200",,"809-New Ware",,,,,,,,,
"B09BZMRQV6",,"21220",,"809-New Ware",,,,,,,,,
"B09CTXZYVK",,"25505","NEW WARE Heavy Duty PVC Pipe Nozzle Connector 3/4"" | Multipurpose Hose Fitting for Garden, Car Wash & Floor Cleaning | Multicolour (Pack of 2)","809-New Ware","Outdoor Living › Gardening › Watering Equipment › Watering Hoses & Accessories › Hose Parts & Connectors","251","499","250","2","1","86","Clicktech Retail Private Ltd",
"B09CZ5K7JB",,"25505-3",,"809-New Ware",,,,,,,,,
"B09D3K28SM",,"25505-5",,"809-New Ware",,,,,,,,,
"B09D3MPXCX",,"25505-10",,"809-New Ware",,,,,,,,,
"B09D3VCWVQ",,"25500",,"809-New Ware",,,,,,,,,
"B09D7V4LXD",,"25500-3",,"809-New Ware",,,,,,,,,
"B09D7ZQPCL",,"25500-5",,"809-New Ware",,,,,,,,,
"B09GFWZYDF",,"21562-KB(Pack of 1)",,"809-New Ware",,,,,,,,,
"B09JSQCBN9",,"21123-N",,"809-New Ware",,,,,,,,,
"B09JSQZLZF",,"21123-KI",,"809-New Ware",,,,,,,,,
"B09JSRZ9DL",,"21120-NW",,"809-New Ware",,,,,,,,,
"B09JSXJ4BB",,"21110-N","NEW WARE® 2 Meter Outlet Drain Hose Pipe for Front Loading Automatic Washing Machine | Grey Discharge Extension Tube | Flexible, Leak-Proof & Durable","809-New Ware","Home & Kitchen › Large Appliances › Parts & Accessories › Washer Parts & Accessories › Hoses","251","399",,"4","8","78","Clicktech Retail Private Ltd",
"B09NNQP3Z9",,"22263",,"809-New Ware",,,,,,,,,
"B09P3T61PD",,"21091-NW",,"809-New Ware",,,,,,,,,
"B09P3TKVSM",,"21100-NW",,"809-New Ware",,,,,,,,,
"B09PG1MBVH",,"21092-NW","New Ware® Waste Water Drain Outlet Pipe Extension Hose for Washing Machines | 4 Meter Drain Hose for Semi & Fully Automatic Machines | Flexible, Leak-Proof & Durable","809-New Ware","Home & Kitchen › Large Appliances › Parts & Accessories › Washer Parts & Accessories › Hoses",,,,"3.5","5","82","Clicktech Retail Private Ltd",
"B09PG6J2XD",,"21091-KI BATH FITTINGS",,"809-New Ware",,,,,,,,,
"B09PG9CKPW",,"21070-KI BATH FITTINGS",,"809-New Ware",,,,,,,,,
"B09PGBVZQD",,"21070-NW",,"809-New Ware",,,,,,,,,
"B09PH6SK85",,"21130-KI BATH FITTINGS","Washing Machine Inlet Pipe 1.5 Meter | Water Inlet Hose for Semi Automatic Washing Machines (White)","809-New Ware","Home & Kitchen › Large Appliances › Parts & Accessories › Washer Parts & Accessories › Hoses",,,,"4","35","89","Clicktech Retail Private Ltd",
"B09PH723C5",,"21140-KI BATH FITTINGS","KI 2 Meter Washing Machine Inlet Pipe | White PVC Water Inflow Hose for Semi Automatic Machines | Leak-Proof Extension Pipe (Pack of 1)","809-New Ware","Home & Kitchen › Large Appliances › Parts & Accessories › Washer Parts & Accessories › Hoses","251","499",,"4.2","48","84","Clicktech Retail Private Ltd",
"B09PTJZRV9",,"22842-KINIK","Unknown Product","809-New Ware",,,,,,,"25",,
"B09PZZGKWR",,"27040-NW",,"809-New Ware",,,,,,,,,
"B09Q3BM4L4",,"38310-KINIK",,"809-New Ware",,,,,,,,,
"B09Q5BRP9Y",,"18120-KINIK","KINIK Multi-Purpose Wall Mounted Chrome Plated Brass Wall Hook | Holder for Faucet, Health Faucet & Hand Shower | Durable Bathroom Accessory","809-New Ware","Home Improvement › Hardware › Nails, Screws & Fasteners › Brackets","251","499",,"3.5","2","83","Clicktech Retail Private Ltd",
"B09Q5DHLPW",,"18140-KINIK",,"809-New Ware",,,,,,,,,
"B09Q5LL8GB",,"18050-KINIK","KINIK Multi-Purpose Wall Mounted Hook for Faucet, Hand Shower & Health Faucet | Durable PVC Holder with Smooth Finish | Easy Installation | Universal Bathroom Fit (Ivory)","809-New Ware","Home Improvement › Hardware › Bathroom Hardware › Shower Mounting Brackets","251","499",,"4.1","12","85","Clicktech Retail Private Ltd",
"B09Q5SKWSY",,"18080-PACK-OF-1-KINIK",,"809-New Ware",,,,,,,,,
"B09Q5WHY1P",,"18070-PACK-OF-1-KINIK",,"809-New Ware",,,,,,,,,
"B09Q5XJW1Y",,"18040-KINIK","KINIK Multi-Purpose Wall Mounted Chrome Plated ABS Wall Hook | Health Faucet & Hand Shower Holder","809-New Ware","Home Improvement › Kitchen & Bath Fixtures › Bathroom Fixtures › Bathroom Basins › Wall Mount","251","499",,"2.7","2","88","Clicktech Retail Private Ltd",
"B09Q622TSH",,"18130-PACK-OF-1-KINIK",,"809-New Ware",,,,,,,,,
"B09Q68ZC26",,"21130-KINIK",,"809-New Ware",,,,,,,,,
"B09Q7T7P7G",,"21160-KINIK","Kinik 1.5 Meter Inlet Hose Pipe for Front Loading Washing Machines | Durable PVC Water Inflow Pipe with Secure Connector","809-New Ware","Home & Kitchen › Large Appliances › Parts & Accessories › Washer Parts & Accessories › Hoses","279","699",,"3.6","23","84","Clicktech Retail Private Ltd",
"B09Q7XTQKL",,"21120-KINIK","KINIK Outlet Extension Pipe & Drain Hose for Front Loading Automatic Washing Machine | 3 Meter Flexible Outlet Pipe | Leak-Proof & Durable","809-New Ware","Home & Kitchen › Large Appliances › Parts & Accessories › Washer Parts & Accessories › Hoses","251","499",,"5","1","85","Clicktech Retail Private Ltd",
"B09Q7ZHJTY",,"21180-KINIK",,"809-New Ware",,,,,,,,,
"B09Q8CK5QP",,"21100-5-METER-KINIK-FBA","KINIK Waste Water Drain Outlet Pipe 5 Meter | Washing Machine Outlet Hose Pipe for Fully & Semi Automatic Machines | Flexible Extension Drain Hose","809-New Ware","Home & Kitchen › Large Appliances › Parts & Accessories › Washer Parts & Accessories › Hoses","349","899",,"4.1","4","75","Clicktech Retail Private Ltd",
"B09Q8FG6Y5",,"21170-KINIK",,"809-New Ware",,,,,,,,,
"B09Q8RDQ75",,"27801-KINIK","Unknown Product","809-New Ware",,,,,,,"25",,
"B09QKYP32L",,"27292",,"809-New Ware",,,,,,,,,
"B09QM58DZN",,"24300-KINIK",,"809-New Ware",,,,,,,,,
"B09QMB4RS6",,"21121-NW","Outlet Drain Hose Tube 4 Meter Grey Discharge Pipe Extension for Front Loading Automatic Washing Machine | Durable Outlet Pipe","809-New Ware","Home & Kitchen › Large Appliances › Parts & Accessories › Washer Parts & Accessories › Hoses","309","449",,"4.1","4","84","Clicktech Retail Private Ltd",
"B09QMDPFL5",,"21121-KI BATH FITTINGS",,"809-New Ware",,,,,,,,,
"B09QQG9FNL",,"21100-7-NW",,"809-New Ware",,,,,,,,,
"B09QXN3XKK",,"17070-KINIK",,"809-New Ware",,,,,,,,,
"B09QYV9KLW",,"27192-KINIK","KINIK Toilet Seat Cover Hinges Clamp L Type | PVC Spare Part Accessories for Western Toilet Seat Cover (6 mm)","809-New Ware","Home Improvement › Kitchen & Bath Fixtures › Bathroom Fixtures › Toilets & Toilet Parts › Toilet Seats","251","499",,"4.5","8","72","Clicktech Retail Private Ltd",
"B09QYXTH43",,"27240-KINIK",,"809-New Ware",,,,,,,,,
"B09R1MHR98",,"22840-KINIK-FBA","Unknown Product","809-New Ware",,,,,,,"25",,
"B09R1NCRDD",,"22844 Pack-of-2-KINIK",,"809-New Ware",,,,,,,,,
"B09R23VFNQ",,"22180-KINIK",,"809-New Ware",,,,,,,,,
"B09R3RL6JQ",,"27750-KINIK",,"809-New Ware",,,,,,,,,
"B09R3RXFFJ",,"27370-KINIK","KINIK Plastic Adjustable Toilet Flush Tank Lever Handle | Universal Front Mount Flush Handle Replacement for Cisterns | Durable, Easy Installation | White | Pack of 1","809-New Ware","Home Improvement › Plumbing › Toilet Parts › Toilet Trip Levers","251","499",,"3.1","5","86","Clicktech Retail Private Ltd",
"B09R3SQV55",,"27172-KINIK","KINIK Plastic Toilet Seat Cover Hinges – Parry/Hindwa Type Clamp | Durable Bathroom Fitting with Smooth Finish","809-New Ware","Industrial & Scientific › Janitorial & Sanitation Supplies › Paper Products › Toilet Seat Covers","202","399",,"4","2","82","Clicktech Retail Private Ltd",
"B09R3WBP48",,"27781-KINIK","KINIK Plastic Toilet Seat Cover Hinges | L Clamp Long for Western Toilet Seat Lid Lock | 1 Pair","809-New Ware","Home Improvement › Kitchen & Bath Fixtures › Bathroom Fixtures › Toilets & Toilet Parts › Toilet Seats","251","299",,"3.4","6","76","Clicktech Retail Private Ltd",
"B09R3WCDHX",,"27930-KINIK",,"809-New Ware",,,,,,,,,
"B09R3YFFSN",,"27360-KINIK","KINIK Plastic Toilet Flush Tank Lever Handle | Hindwa Type | Durable WC Flush Handle Replacement","809-New Ware","Home Improvement › Plumbing › Toilet Parts › Toilet Trip Levers","202","499",,"3.6","2","83","Clicktech Retail Private Ltd",
"B09R3ZPTJC",,"27080-KINIK","KINIK Plastic Toilet Seat Cover Hinges – Parry/Hindware Type | Long Casket Design Replacement Hinges | Durable & Easy Installation | White","809-New Ware","Home Improvement › Kitchen & Bath Fixtures › Bathroom Fixtures › Toilets & Toilet Parts › Toilet Seats","251","499",,,,"77","Clicktech Retail Private Ltd",
"B09R424PKJ",,"27030-KINIK",,"809-New Ware",,,,,,,,,
"B09R42W5JF",,"27351-KINIK",,"809-New Ware",,,,,,,,,
"B09R43F833",,"27771-KINIK",,"809-New Ware",,,,,,,,,
"B09R43FFPF",,"27090-KINIK","KINIK Plastic Toilet Seat Cover Hinges – CERA Type | Square Long Clamp Replacement Hinges for Toilet Seats | Durable, Rust-Free | White | 1 Pair","809-New Ware","Home Improvement › Kitchen & Bath Fixtures › Bathroom Fixtures › Toilets & Toilet Parts › Toilet Seats","212","499","308","3.4","5","85","Clicktech Retail Private Ltd",
"B09R44DMKZ",,"27050-KINIK",,"809-New Ware",,,,,,,,,
"B09R44SB87",,"27070-KINIK",,"809-New Ware",,,,,,,,,
"B09R46K4QZ",,"27040-KINIK",,"809-New Ware",,,,,,,,,
"B09R4837GD",,"27060-KINIK","KINIK Plastic Toilet Seat Cover Hinges Cera Type | Durable Replacement Fitting for Western Toilet Seats (White)","809-New Ware","Industrial & Scientific › Janitorial & Sanitation Supplies › Paper Products › Toilet Seat Covers","351","499",,"2.8","5","75","KIDLEN INDIA LLP",
"B09R4C2T3X",,"27350-KINIK",,"809-New Ware",,,,,,,,,
"B09R99R25N",,"27120-KINIK",,"809-New Ware",,,,,,,,,
"B09R9BGH3P",,"27200-KINIK","KINIK Plastic Toilet Seat Cover Hinges | CERA Type Round & Square Short Clamp | WC Seat Replacement Hinges (1 Pair)","809-New Ware","Home Improvement › Kitchen & Bath Fixtures › Bathroom Fixtures › Toilets & Toilet Parts › Toilet Seats",,,,"3.1","6","83","Clicktech Retail Private Ltd",
"B09R9BP46Y",,"27170-KINIK",,"809-New Ware",,,,,,,,,
"B09R9CLN8B",,"27340-KINIK",,"809-New Ware",,,,,,,,,
"B09R9DDDFL",,"27180-KINIK",,"809-New Ware",,,,,,,,,
"B09R9HYFGG",,"27271-KINIK",,"809-New Ware",,,,,,,,,
"B09R9T5P49",,"27280-KINIK",,"809-New Ware",,,,,,,,,
"B09RFM9CGR",,"15460",,"809-New Ware",,,,,,,,,
"B09RG2VK7C",,"18040-KI BATH FITTINGS",,"809-New Ware",,,,,,,,,
"B09RH5DG6B",,"25430-KINK",,"809-New Ware",,,,,,,,,
"B09RH5YGV4",,"40160(Pack of 6)-KINIK",,"809-New Ware",,,,,,,,,
"B09RH6J69V",,"40150(Pack of 6)-KINIK","KINIK Adjustable Stainless Steel Hose Clamp 1 Inch | With Key | For Plumbing, Automotive & Mechanical Applications | Pack of 6","809-New Ware","Home Improvement › Kitchen & Bath Fixtures › Bathroom Fixtures › Pipe Fittings & Accessories › Pipe Clamps",,,,"3.8","73","85","Clicktech Retail Private Ltd",
"B09RH6P5S7",,"40130-PACK-OF-4-KINIK","KINIK Adjustable Stainless Steel Hose Clamp 1/2 Inch | With Key | For Plumbing, Automotive & Mechanical Use | Pack of 4","809-New Ware","Home Improvement › Kitchen & Bath Fixtures › Bathroom Fixtures › Pipe Fittings & Accessories › Pipe Clamps","208","499",,"3.6","27","85","Clicktech Retail Private Ltd",
"B09RH6Y88R",,"40130-PACK-OF-10-KINIK",,"809-New Ware",,,,,,,,,
