asin,sku,date,metrics.sales,metrics.spend,metrics.clicks,metrics.impressions,metrics.orders,metrics.conversion_rate,metrics.acos,metrics.roas,metrics.ctr,metrics.cpc,metrics.conversions,metrics.same_sku_sales,metrics.same_sku_orders,metrics.daily_budget,metrics.total_budget,metrics.max_spend,metrics.avg_spend,metrics.total_sales,metrics.total_acos,metrics.total_units,metrics.organic_sales,metrics.organic_orders,metrics.page_views,metrics.ad_sales_perc,metrics.tos_is,metrics.aov,metrics.sessions,metrics.buy_box_percentage,metrics.browser_sessions,metrics.mobile_app_sessions
B0CJJSMR53,"""None""","""2026-04-14""",1271.43,50.0,16,1312,3,0.1875,0.0393,25.43,0.0122,3.12,3,847.62,2,,,,,423.81,11.8,1,0,0,57,300.0,,423.81,0,,0,0
B0CL2KRR31,"""None""","""2026-04-19""",1989.52,222.81,74,20262,3,0.040541,0.112,8.93,0.0037,3.01,3,0,0,,,,,0,,0,0,0,85,,,663.173333,0,,0,0
B0DFPTFLKW,"""None""","""2026-04-19""",1414.29,113.66,42,3857,3,0.071429,0.0804,12.44,0.0109,2.71,3,1414.29,3,,,,,942.84,12.06,2,0,0,111,150.0,,471.43,0,,0,0
B0DFPTFLKW,"""None""","""2026-04-20""",1414.28,180.38,66,6443,3,0.045455,0.1275,7.84,0.0102,2.73,3,942.85,2,,,,,0.0,,0,0,0,138,,,471.426667,0,,0,0
B0CJMG2B3D,"""None""","""2026-04-19""",2271.42,136.62,61,13210,3,0.04918,0.0601,16.63,0.0046,2.24,3,2271.42,3,,,,,0.0,,0,0,0,82,,,757.14,0,,0,0
B0CJMG2B3D,"""None""","""2026-04-29""",1514.28,99.17,32,6755,3,0.09375,0.0655,15.27,0.0047,3.1,3,757.14,2,,,,,1514.28,6.55,2,0,0,57,100.0,,504.76,0,,0,0
B0CG232LHC,"""None""","""2026-04-15""",1128.57,354.12,124,10233,3,0.024194,0.3138,3.19,0.0121,2.86,3,752.38,2,,,,,3385.74,10.46,10,2257.17,6,477,33.33,,376.19,0,,0,0
B0CG232LHC,"""None""","""2026-04-18""",1275.24,437.32,136,13254,3,0.022059,0.3429,2.92,0.0103,3.22,3,895.24,2,,,,,2542.84,17.2,6,1267.6,4,389,50.15,,425.08,0,,0,0
B0CG232LHC,"""None""","""2026-04-29""",1249.53,148.5,44,3052,3,0.068182,0.1188,8.41,0.0144,3.38,3,782.86,2,,,,,3484.72,4.26,9,2235.19,6,281,35.86,,416.51,0,,0,0
B0DFPPGH44,"""None""","""2026-04-14""",1414.29,174.75,59,5989,3,0.050847,0.1236,8.09,0.0099,2.96,3,471.43,1,,,,,2828.55,6.18,6,1414.26,3,190,50.0,,471.43,0,,0,0
B0DFPPGH44,"""None""","""2026-04-15""",1366.67,129.47,46,4731,3,0.065217,0.0947,10.56,0.0097,2.81,3,423.81,1,,,,,942.86,13.73,2,0,0,157,144.95,,455.556667,0,,0,0
B0DV3DHH5T,"""None""","""2026-04-07""",1413.34,291.44,151,13537,3,0.019868,0.2062,4.85,0.0112,1.93,3,1413.34,3,,,,,2828.58,10.3,6,1415.24,3,241,49.97,,471.113333,0,,0,0
