asin,sku,date,metrics.sales,metrics.spend,metrics.clicks,metrics.impressions,metrics.orders,metrics.conversion_rate,metrics.acos,metrics.roas,metrics.ctr,metrics.cpc,metrics.conversions,metrics.same_sku_sales,metrics.same_sku_orders,metrics.daily_budget,metrics.total_budget,metrics.max_spend,metrics.avg_spend,metrics.total_sales,metrics.total_acos,metrics.total_units,metrics.organic_sales,metrics.organic_orders,metrics.page_views,metrics.ad_sales_perc,metrics.tos_is,metrics.aov,metrics.sessions,metrics.buy_box_percentage,metrics.browser_sessions,metrics.mobile_app_sessions
B0G4S7VDZ8,"""None""","""2026-04-24""",757.14,41.75,24,5214,1,0.041667,0.0551,18.14,0.0046,1.74,1,757.14,1,,,,,0,,0,0,0,53,,,757.14,0,,0,0
B0FDGHYXLC,"""None""","""2026-04-11""",757.14,7.79,4,300,1,0.25,0.0103,97.19,0.0133,1.95,1,0,0,,,,,0,,0,0,0,8,,,757.14,0,,0,0
B0FDGHYXLC,"""None""","""2026-04-20""",709.52,44.75,18,1892,1,0.055556,0.0631,15.86,0.0095,2.49,1,709.52,1,,,,,709.52,6.31,1,0,0,42,100,,709.52,0,,0,0
B0FDGHYXLC,"""None""","""2026-04-22""",757.14,97.49,38,3561,1,0.026316,0.1288,7.77,0.0107,2.57,1,0,0,,,,,0,,0,0,0,52,,,757.14,0,,0,0
B0FDGHYXLC,"""None""","""2026-04-27""",713.33,123.63,66,9995,1,0.015152,0.1733,5.77,0.0066,1.87,1,0,0,,,,,1419.04,8.71,2,705.71,1,83,50.27,,713.33,0,,0,0
B0G4SB3635,"""None""","""2026-04-22""",757.14,6.29,3,176,1,0.333333,0.0083,120.37,0.017,2.1,1,757.14,1,,,,,0,,0,0,0,14,,,757.14,0,,0,0
B0G4SB3635,"""None""","""2026-04-24""",757.14,20.85,11,868,1,0.090909,0.0275,36.31,0.0127,1.9,1,0,0,,,,,0,,0,0,0,28,,,757.14,0,,0,0
B0GHFVCWHL,"""None""","""2026-04-28""",757.14,2,2,369,1,0.5,0.0026,378.57,0.0054,1,1,0,0,,,,,0,,0,0,0,32,,,757.14,0,,0,0
B0G4SFDRYY,"""None""","""2026-04-21""",757.14,4.99,2,502,1,0.5,0.0066,151.73,0.004,2.5,1,0,0,,,,,0,,0,0,0,9,,,757.14,0,,0,0
B0G4S73TNL,"""None""","""2026-04-16""",856.19,9.34,3,139,1,0.333333,0.0109,91.67,0.0216,3.11,1,0,0,,,,,0,,1,0,0,73,,,856.19,0,,0,0
B0G4S73TNL,"""None""","""2026-04-21""",757.14,8.99,3,211,1,0.333333,0.0119,84.22,0.0142,3,1,757.14,1,,,,,2271.42,0.4,3,1514.28,2,91,33.33,,757.14,0,,0,0
B0FDGQ9K72,"""None""","""2026-04-12""",709.52,71.36,30,8669,1,0.033333,0.1006,9.94,0.0035,2.38,1,0,0,,,,,0,,0,0,0,35,,,709.52,0,,0,0
B0FDGQ9K72,"""None""","""2026-04-13""",757.14,48.62,20,3309,1,0.05,0.0642,15.57,0.006,2.43,1,0,0,,,,,709.52,6.85,1,0,0,31,106.71,,757.14,0,,0,0
