asin,sku,date,sales,spend,clicks,impressions,orders,conversion_rate,acos,roas,ctr,cpc,conversions,same_sku_sales,same_sku_orders,daily_budget,total_budget,max_spend,avg_spend,total_sales,total_acos,total_units,organic_sales,organic_orders,page_views,ad_sales_perc,tos_is,aov,sessions,buy_box_percentage,browser_sessions,mobile_app_sessions
B0CTNX6XV1,"""None""","""2026-03-02""",456.19,26.74,21,1828,1,0.047619,0.0586,17.06,0.0115,1.27,1,456.19,1,,,,,0,,0,0,0,39,,,456.19,0,,0,0
B0CTNX6XV1,"""None""","""2026-03-09""",494.28,25.35,18,2623,1,0.055556,0.0513,19.5,0.0069,1.41,1,494.28,1,,,,,0,,0,0,0,41,,,494.28,0,,0,0
B0CTNX6XV1,"""None""","""2026-03-10""",1333.32,43.71,33,5908,4,0.030303,0.0328,30.5,0.0056,1.32,1,1333.32,4,,,,,0,,0,0,0,50,,,1333.32,0,,0,0
B0CTNX6XV1,"""None""","""2026-03-11""",494.29,28.32,22,4750,1,0.045455,0.0573,17.45,0.0046,1.29,1,494.29,1,,,,,0,,0,0,0,32,,,494.29,0,,0,0
B0CTNX6XV1,"""None""","""2026-03-18""",490.48,31.03,15,1165,1,0.066667,0.0633,15.81,0.0129,2.07,1,0,0,,,,,0,,0,0,0,31,,,490.48,0,,0,0
B0CTNX6XV1,"""None""","""2026-03-26""",352.38,35.73,18,2166,1,0.055556,0.1014,9.86,0.0083,1.99,1,0,0,,,,,0,,0,0,0,34,,,352.38,0,,0,0
B0CTNX6XV1,"""None""","""2026-03-29""",490.48,54.13,28,3389,1,0.035714,0.1104,9.06,0.0083,1.93,1,0,0,,,,,0,,0,0,0,46,,,490.48,0,,0,0
B0F32TF6DB,"""None""","""2026-03-02""",618.1,3.79,1,304,1,1,0.0061,163.09,0.0033,3.79,1,618.1,1,,,,,0,,0,0,0,2,,,618.1,0,,0,0
B0FGVL19HL,"""None""","""2026-03-09""",760.95,9.73,2,10,1,0.5,0.0128,78.21,0.2,4.87,1,760.95,1,,,,,0,,0,0,0,2,,,760.95,0,,0,0
B0FGVL8FX4,"""None""","""2026-03-04""",703.81,45.25,9,827,1,0.111111,0.0643,15.55,0.0109,5.03,1,703.81,1,,,,,0,,0,0,0,10,,,703.81,0,,0,0
B0DG2XTC5C,"""None""","""2026-03-07""",437.14,10.34,8,1089,1,0.125,0.0237,42.28,0.0073,1.29,1,437.14,1,,,,,0,,0,0,0,13,,,437.14,0,,0,0
B0DG2XTC5C,"""None""","""2026-03-10""",475.24,10.01,8,2460,1,0.125,0.0211,47.48,0.0033,1.25,1,0,0,,,,,0,,0,0,0,15,,,475.24,0,,0,0
B0DG2XTC5C,"""None""","""2026-03-16""",471.43,18.61,12,3886,1,0.083333,0.0395,25.33,0.0031,1.55,1,471.43,1,,,,,0,,0,0,0,32,,,471.43,0,,0,0
B0FFTMVTF3,"""None""","""2026-03-01""",437.14,20.42,6,1278,1,0.166667,0.0467,21.41,0.0047,3.4,1,437.14,1,,,,,0,,0,0,0,8,,,437.14,0,,0,0
B0FFTMVTF3,"""None""","""2026-03-20""",471.43,3.23,1,195,1,1,0.0069,145.95,0.0051,3.23,1,471.43,1,,,,,0,,0,0,0,1,,,471.43,0,,0,0
B0FGVKMVF5,"""None""","""2026-03-01""",0,0,0,77,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,2,,,,0,,0,0
B0FGVKMVF5,"""None""","""2026-03-02""",0,0,0,193,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0FGVKMVF5,"""None""","""2026-03-03""",0,4.57,1,185,0,0,,0,0.0054,4.57,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0FGVKMVF5,"""None""","""2026-03-04""",0,0,0,15,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0FGVKMVF5,"""None""","""2026-03-05""",0,0,0,41,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0FGVKMVF5,"""None""","""2026-03-06""",0,8.9,2,190,0,0,,0,0.0105,4.45,0,0,0,,,,,0,,0,0,0,2,,,,0,,0,0
B0FGVKMVF5,"""None""","""2026-03-07""",0,0,0,190,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0FGVKMVF5,"""None""","""2026-03-08""",0,0,0,57,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0FGVKMVF5,"""None""","""2026-03-09""",0,0,0,22,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,2,,,,0,,0,0
B0FGVKMVF5,"""None""","""2026-03-10""",0,0,0,6,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,4,,,,0,,0,0
B0FGVKMVF5,"""None""","""2026-03-11""",0,0,0,5,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0FGVKMVF5,"""None""","""2026-03-12""",0,0,0,19,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0FGVKMVF5,"""None""","""2026-03-14""",0,0,0,6,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0FGVKMVF5,"""None""","""2026-03-15""",0,0,0,22,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0FGVKMVF5,"""None""","""2026-03-16""",0,0,0,10,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0FGVKMVF5,"""None""","""2026-03-17""",0,0,0,8,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0FGVKMVF5,"""None""","""2026-03-18""",0,0,0,4,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0FGVKMVF5,"""None""","""2026-03-19""",0,0,0,5,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0FGVKMVF5,"""None""","""2026-03-20""",0,0,0,1,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0FGVKMVF5,"""None""","""2026-03-23""",0,0,0,1,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0FGVKMVF5,"""None""","""2026-03-24""",0,0,0,8,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,2,,,,0,,0,0
B0FGVKMVF5,"""None""","""2026-03-25""",0,24.63,2,106,0,0,,0,0.0189,12.31,0,0,0,,,,,0,,0,0,0,2,,,,0,,0,0
B0FGVKMVF5,"""None""","""2026-03-26""",0,49.79,4,345,0,0,,0,0.0116,12.45,0,0,0,,,,,0,,0,0,0,4,,,,0,,0,0
B0FGVKMVF5,"""None""","""2026-03-27""",0,0,0,87,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,2,,,,0,,0,0
B0CW3RMFWZ,"""None""","""2026-03-01""",0,0,0,0,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0CW3RMFWZ,"""None""","""2026-03-02""",0,0,0,0,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0CW3RMFWZ,"""None""","""2026-03-03""",0,0,0,0,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0CW3RMFWZ,"""None""","""2026-03-04""",0,0,0,0,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0CW3RMFWZ,"""None""","""2026-03-05""",0,0,0,0,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0CW3RMFWZ,"""None""","""2026-03-06""",0,0,0,0,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0CW3RMFWZ,"""None""","""2026-03-07""",0,0,0,0,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0CW3RMFWZ,"""None""","""2026-03-08""",0,0,0,0,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0CW3RMFWZ,"""None""","""2026-03-09""",0,0,0,0,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,2,,,,0,,0,0
B0CW3RMFWZ,"""None""","""2026-03-10""",0,0,0,0,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0CW3RMFWZ,"""None""","""2026-03-11""",0,0,0,0,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,3,,,,0,,0,0
B0CW3RMFWZ,"""None""","""2026-03-12""",0,0,0,0,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0CW3RMFWZ,"""None""","""2026-03-13""",0,0,0,0,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,2,,,,0,,0,0
B0CW3RMFWZ,"""None""","""2026-03-14""",0,0,0,0,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0CW3RMFWZ,"""None""","""2026-03-15""",0,0,0,0,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0CW3RMFWZ,"""None""","""2026-03-16""",0,0,0,0,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0CW3RMFWZ,"""None""","""2026-03-17""",0,0,0,0,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0CW3RMFWZ,"""None""","""2026-03-18""",0,0,0,0,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,2,,,,0,,0,0
B0CW3RMFWZ,"""None""","""2026-03-19""",0,0,0,0,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,1,,,,0,,0,0
B0CW3RMFWZ,"""None""","""2026-03-20""",0,0,0,0,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0CW3RMFWZ,"""None""","""2026-03-21""",0,0,0,0,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0CW3RMFWZ,"""None""","""2026-03-22""",0,0,0,0,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
